Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
1008,NDRA,Healthcare,Diagnostics & Research,NASDAQ,110.69,83,65,62,66,6.04,8249109.0,1499838.0,0.0221,-38.68,52940,48680,35890,
1009,DMLP,Energy,Oil & Gas E&P,NASDAQ,110.67,83,78,46,73,29.04,1462433089.2645264,49091408.0,0.010199999,-4.91,107950,106983,179180,0.731
1010,GBTG,Consumer Cyclical,Travel Services,NYSE,110.67,83,77,86,22,9.5,4941652790.706965,522373443.0,0.028299998,-0.63,2401270,1948103,1720632,0.379
1011,VECO,Technology,Semiconductor Equipment & Materials,NASDAQ,110.66,83,86,97,86,49.67,2611458295.4211426,61129640.0,0.1533,-42.66,672530,570356,718090,0.165
1012,MRT,Technology,Software - Application,NYSE ARCA,110.56,83,57,11,24,2.15,171536475.99242353,86634583.0,0.0011,-21.82,52770,57503,50322,1.407
1013,FCBC,Financial Services,Banks - Regional,NASDAQ,110.52,83,83,74,80,47.62,887083530.5045128,18910329.0,0.0396,-5.08,107660,95440,95298,0.374
1014,DV,Communication Services,Advertising Agencies,NYSE,110.46,82,77,36,27,13.41,2086132994.2323074,154987592.0,0.0672,-1.76,4781200,3308783,3954016,0.025
1015,MSTR,Technology,Software - Application,NASDAQ,110.45,82,19,7,9,158.61,61149592379.755554,397281660.0,0.0865,-56.57,25973420,27707523,22817460,0.069
1016,TD,Financial Services,Banks - Diversified,NYSE,110.42,82,83,85,79,120.65,200425108009.9945,1638397000.0,4.6,-3.84,1504570,1794030,1990582,0.115
1017,CBC,Financial Services,Banks - Regional,NASDAQ,110.41,82,82,80,56,32.06,7628238577.413958,239505133.0,0.0695,-5.2,2398800,1358250,1084910,0.137
1018,UVE,Financial Services,Insurance - Property & Casualty,NYSE,110.4,82,86,85,79,42.14,1228988472.5534248,27830355.0,0.026300002,-6.67,151350,168113,185260,0.067
1019,CTOS,Industrials,Rental & Leasing Services,NYSE,110.39,82,84,94,78,9.45,2122626624.1927052,227505535.0,0.073699996,-22.73,894750,889436,1019702,0.102
1020,DJCO,Technology,Software - Application,NASDAQ,110.38,82,81,76,73,656.86,897777106.9296875,1377952.0,0.1535,-5.15,67570,66013,62772,0.153
1021,MFC,Financial Services,Insurance - Life,NYSE,110.33,82,79,72,63,43.86,73637487658.9895,1659249344.0,5.34,-3.24,1444840,2264886,2261736,0.107
1022,GRDN,Healthcare,Medical Care Facilities,NYSE,110.29,82,69,86,90,41.21,2849770363.277954,63342304.0,0.081999995,-14.73,891470,587780,494798,0.022
1023,VAL,Energy,Oil & Gas Drilling,NYSE,110.28,82,75,71,97,80.99,5815943342.650887,69435807.0,0.1216,-29.03,1342130,1184270,1142216,-0.124
1024,BAP,Financial Services,Banks - Regional,NYSE,110.27,82,82,85,86,386.16,30324676743.688507,79419317.0,0.023599999,-6.56,301260,323673,303170,0.12
1025,CPAC,Basic Materials,Building Materials,NYSE,110.27,82,90,84,87,12.23,1060848791.3057642,85621369.0,0.001,-4.0,91370,52870,55866,0.154
1026,COP,Energy,Oil & Gas E&P,NYSE,110.27,82,81,37,86,127.3,160607701173.57294,1218294007.0,0.0139999995,-10.11,7875480,6850723,6742732,0.355
