Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
3441,PRTH,Technology,Software - Infrastructure,NASDAQ,89.55,42,30,71,19,5.89,489695814.3972759,82440372.0,0.0545,-25.54,392380,499906,415568,0.094
3442,NUV,Financial Services,Asset Management,NYSE,89.52,42,47,53,59,8.66,1809762763.8195848,207541595.0,0.0015,-6.48,626613,534437,512892,0.062
3443,LPTH,Technology,Electronic Components,NASDAQ,89.51,42,95,96,98,9.39,643660000.6556082,69963045.0,0.15439999,-50.42,3572040,3263583,3063874,0.733
3444,LUV,Industrials,Airlines,NYSE,89.51,42,66,82,72,39.15,19196530628.359722,489208201.0,0.0761,-28.96,5239430,4574236,5011680,0.164
3445,ABT,Healthcare,Medical Devices,NYSE,89.51,42,54,17,27,102.36,176412571746.48926,1730383296.0,0.0143,-25.55,7533520,7655776,9495222,0.13
3446,SNFCA,Financial Services,Insurance - Life,NASDAQ,89.51,42,44,48,42,8.67,228879196.31670666,26038589.0,0.0166,-15.25,26910,28883,28451,-0.063
3447,DUK,Utilities,Utilities - Regulated Electric,NYSE,89.5,42,45,50,69,117.76,93112034460.38264,779702193.0,0.024400001,-12.44,3582620,4145650,3968768,0.011
3448,OMSE,Energy,Oil & Gas Equipment & Services,NASDAQ,89.49,42,24,19,28,4.36,191019168.0,42448704.0,0.0027,-38.59,38410,34870,26904,-0.017
3449,CABA,Healthcare,Biotechnology,NASDAQ,89.49,42,63,79,87,2.49,462859068.0838227,169545445.0,0.2694,-41.13,6414420,5203966,4384044,
3450,EMN,Basic Materials,Specialty Chemicals,NYSE,89.48,41,60,59,62,65.07,7786786362.309433,114326623.0,0.0631,-22.04,1083720,930656,1086694,0.099
3451,PCN,Financial Services,Asset Management,NYSE,89.48,41,43,43,40,11.26,862877371.1261749,75691000.0,0.9,-16.53,514394,405821,369730,0.038
3452,ASGI,Financial Services,Asset Management,NYSE,89.47,41,68,62,69,20.28,702476640.7029266,31628846.0,3.84,-21.85,339873,242191,231334,
3453,PPG,Basic Materials,Specialty Chemicals,NYSE,89.46,41,55,67,53,104.98,23452650000.0,222300000.0,0.030299999,-21.32,1639000,1390720,1659658,0.072
3454,SPE,Financial Services,Asset Management,NYSE,89.46,41,34,37,45,13.1,146805390.9565277,11021426.0,0.38,-18.07,41644,31594,33348,0.176
3455,BIT,Financial Services,Asset Management,NYSE,89.44,41,36,41,41,11.62,668774964.7173872,57062709.0,0.0023,-15.18,387272,391674,346348,
3456,INFQ,Technology,Software - Infrastructure,NYSE,89.44,41,36,65,20,12.84,2956684496.449932,225357052.0,2.56,-39.66,7626910,8858393,9067964,1.565
3457,CPT,Real Estate,REIT - Residential,NYSE,89.42,41,50,54,33,101.3,11921613107.01146,115732578.0,0.044499997,-15.45,924070,841180,931236,-0.008
3458,PAI,Financial Services,Asset Management,NYSE,89.41,41,36,40,43,11.71,111373377.09281445,9510963.0,0.34,-9.99,26553,21007,17622,0.025
3459,NTIC,Basic Materials,Specialty Chemicals,NASDAQ,89.41,41,39,50,59,7.72,77111083.5932188,9496439.0,0.0014,-23.03,15850,8466,9458,0.126
3460,RMMZ,Financial Services,Asset Management,NYSE,89.39,41,49,57,53,13.96,119891902.58026123,8455000.0,0.0016,-8.7,24325,15935,14459,
3461,SSBI,Financial Services,Banks - Regional,NASDAQ,89.36,41,47,68,80,12.38,82620381.61812592,6766616.0,0.0014,-11.57,7340,3640,4982,-0.543
3462,FACTU,Financial Services,Shell Companies,NASDAQ,89.36,41,40,65,59,10.83,,,4.65,-27.8,0,0,10,
3463,HLIT,Technology,Communication Equipment,NASDAQ,89.35,41,72,89,42,11.15,1308797340.0,109066445.0,0.0752,-36.93,1352970,1603390,1508452,0.535
3464,CRWS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,89.34,41,64,52,45,2.55,28514761.576180935,10760287.0,0.0031,-18.79,92630,111413,88720,0.083
3465,MFM,Financial Services,Asset Management,NYSE,89.34,41,52,58,56,5.15,213351921.50967455,41187631.0,0.41,-9.17,363762,301067,285156,0.002
3466,SPCB,Industrials,Security & Protection Services,NASDAQ,89.34,41,63,67,31,9.77,62553302.15958023,6280452.0,0.0149,-28.0,52250,95790,89154,0.133
3467,KRC,Real Estate,REIT - Office,NYSE,89.34,41,53,63,24,34.42,4059183858.6734314,116308988.0,0.1104,-23.56,1325140,1159626,1218072,-0.06
3468,TPG,Financial Services,Asset Management,NASDAQ,89.33,41,60,24,19,46.55,7950639122.5417595,166715021.0,0.071,-33.86,2652280,2982453,2626736,1.102
3469,CBRE,Real Estate,Real Estate Services,NYSE,89.33,41,48,28,34,138.56,40688223531.29538,289575298.0,0.016900001,-20.49,1693520,1475253,1585992,0.155
3470,MAGN,Consumer Defensive,Household & Personal Products,NYSE,89.33,41,62,61,17,11.64,416519993.20983887,35600000.0,0.056799997,-25.0,353900,455506,433102,0.021
3471,DHF,Financial Services,Asset Management,NYSE,89.32,41,38,46,44,2.28,167294024.73165178,72736534.0,0.12,-13.31,370254,331141,320602,-0.067
3472,PSF,Financial Services,Asset Management,NYSE,89.3,41,38,49,47,18.75,226250191.0462551,12028187.0,0.0027,-11.56,53599,40529,36057,
3473,BZUN,Consumer Cyclical,Internet Retail,NASDAQ,89.29,41,38,53,29,2.76,158732269.34900284,58143688.0,0.0145000005,-43.09,135830,166130,209570,0.075
3474,NMI,Financial Services,Asset Management,NYSE,89.28,41,45,65,56,9.83,120541029.27101135,12078260.0,0.0018000001,-12.85,26125,26938,24095,0.129
3475,HIO,Financial Services,Asset Management,NYSE,89.28,41,40,47,45,3.41,327141305.04162073,95099215.0,0.32,-15.8,514074,382958,387346,-0.017
3476,HOV,Consumer Cyclical,Residential Construction,NYSE,89.26,41,57,64,62,116.1,690870437.8871155,5959890.0,0.0932,-28.36,106760,127630,134200,-0.118
3477,O,Real Estate,REIT - Retail,NYSE,89.22,41,52,54,67,57.15,56299972963.5,946218033.0,0.0493,-15.88,6697390,5836173,5506626,0.096
3478,UE,Real Estate,REIT - Retail,NYSE,89.21,41,57,67,66,20.03,2596848627.0932465,126244466.0,0.0495,-16.92,837740,788970,778646,0.076
3479,BHK,Financial Services,Asset Management,NYSE,89.21,41,48,41,42,8.56,631961960.0,72224224.0,0.0115,-15.42,326528,268532,314337,0.173
3480,NXP,Financial Services,Asset Management,NYSE,89.21,41,46,48,56,13.62,866466012.5,63015710.0,0.0014,-7.03,233341,174893,158442,0.16
3481,INKT,Healthcare,Biotechnology,NASDAQ,89.2,41,49,78,32,11.59,61236024.0,5103002.0,0.0254,-31.74,18640,12143,11998,
3482,AMTX,Basic Materials,Specialty Chemicals,NASDAQ,89.19,41,29,25,95,1.9,145060883.25173712,72169594.0,0.13069999,-50.0,709490,779176,876198,0.2
3483,RJET,Industrials,Airlines,NASDAQ,89.19,41,41,39,60,17.73,824959629.2924881,46819500.0,0.0544,-33.6,82280,78873,91098,0.408
3484,MIAX,Financial Services,Capital Markets,NYSE,89.18,41,31,36,53,38.04,4115105461.1914673,99230898.0,0.086,-33.43,1426670,1331240,1279526,0.183
3485,GIS,Consumer Defensive,Packaged Foods,NYSE,89.17,41,33,19,21,36.81,19133445182.225616,533708396.0,0.111999996,-28.29,9085830,8510793,8926450,0.022
3486,LNT,Utilities,Utilities - Regulated Electric,NASDAQ,89.16,41,47,65,70,66.11,17439489408.631874,259284699.0,0.1094,-16.11,1938280,2189476,2326868,0.01
3487,PERI,Communication Services,Internet Content & Information,NASDAQ,89.15,41,34,26,68,8.71,379573532.57861805,41302889.0,0.0353,-22.72,968700,570276,446098,-0.046
3488,TKO,Communication Services,Entertainment,NYSE,89.14,41,38,47,60,192.43,13913772881.886108,73111098.0,0.1121,-15.21,1104610,1025866,1088970,0.182
3489,TCBIO,Financial Services,Banks - Regional,NASDAQ,89.09,41,40,38,68,19.68,,,1.03,-14.23,25445,19151,16839,0.086
3490,NTRSO,Financial Services,Asset Management,NASDAQ,89.07,41,33,37,49,18.04,,,2.44,-14.26,33640,32960,37562,0.364
3491,ODFL,Industrials,Trucking,NASDAQ,89.07,41,73,82,79,174.36,37280645677.21518,207356622.0,0.0461,-30.82,1983470,1649950,1688876,0.104
3492,BRT,Real Estate,REIT - Residential,NYSE,89.07,41,47,49,35,13.95,266676592.74402714,18793277.0,0.0356,-16.42,50470,42293,39572,-0.001
3493,WHLRD,Real Estate,REIT - Retail,NASDAQ,89.07,41,39,51,65,36.0,,,4.91,-14.29,80,250,316,-0.139
3494,LIN,Basic Materials,Specialty Chemicals,NASDAQ,89.06,41,40,64,69,462.09,214918172156.57993,460980163.0,0.0117,-15.71,1813270,1893443,1996244,0.093
3495,PVH,Consumer Cyclical,Apparel Manufacturing,NYSE,89.06,41,48,62,41,71.7,3259176494.9597015,46137833.0,0.1321,-28.83,1298250,1023406,964464,-0.032
3496,MIN,Financial Services,Asset Management,NYSE,89.04,41,40,39,42,2.35,265149885.85788345,113798238.0,2.32,-13.6,376742,228134,198536,-0.023
3497,NBH,Financial Services,Asset Management,NYSE ARCA,89.02,41,50,57,52,9.72,288776075.25,29618059.0,0.0019,-9.33,104007,84042,85187,0.018
3498,BCE,Communication Services,Telecom Services,NYSE,89.01,41,35,37,74,22.5,21811778290.46141,932525817.0,9.71,-15.16,4084010,3398436,3626944,0.015
3499,AFYA,Consumer Defensive,Education & Training Services,NASDAQ,89.01,41,33,34,45,13.68,1228962450.6165848,88478216.0,0.11,-16.74,286500,200573,152552,0.057
