Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
2973,ADV,Communication Services,Advertising Agencies,NASDAQ,89.58,49,84,93,28,33.12,416466024.5304489,12822230.0,0.1192,-30.2,55600,63690,87266,0.018
2974,SPEGU,Financial Services,Shell Companies,NASDAQ,89.58,49,42,48,53,10.48,,,0.73,-23.28,0,0,2506,
2975,SUZ,Basic Materials,Paper & Paper Products,NYSE,89.58,49,36,19,57,8.69,11441199060.399687,1231560722.0,0.011,-24.66,2496210,3297283,3082552,-0.128
2976,NGVC,Consumer Defensive,Grocery Stores,NYSE,89.58,49,28,55,26,29.71,713960453.4304466,23045851.0,0.085,-27.78,167690,150356,150956,0.018
2977,ONCH,Financial Services,Shell Companies,NASDAQ,89.58,49,42,39,44,10.32,222094595.8092432,21541667.0,0.0001,-2.18,17130,55600,66568,
2978,HACQ,Financial Services,Shell Companies,NASDAQ,89.58,49,43,40,47,10.04,376366238.5940552,37375000.0,0.2,-0.5,52880,44820,28228,
2979,WMK,Consumer Defensive,Grocery Stores,NYSE,89.58,49,42,66,53,72.02,1788044632.080162,24744597.0,0.22639999,-14.0,291380,194280,182784,0.046
2980,TLNC,Financial Services,Shell Companies,NASDAQ,89.57,49,41,46,55,10.24,347605154.4456482,33979000.0,0.00059999997,-9.38,110940,70540,51326,
2981,IGACU,Financial Services,Shell Companies,NASDAQ,89.57,49,41,39,50,10.18,,,0.5,-8.6,0,66,194,
2982,MEVOU,Financial Services,Shell Companies,NASDAQ,89.56,49,42,45,46,10.19,,,0.0,-7.36,0,473,860,
2983,SAC,Financial Services,Shell Companies,NYSE,89.56,49,42,38,45,10.08,316489674.81617355,31366667.0,0.0001,-8.49,258616,120182,73245,
2984,CAQ,Financial Services,Shell Companies,NASDAQ,89.55,49,41,37,43,10.0,312556526.6888037,31162167.0,0.01,-0.99,13010,44990,28944,
2985,ASO,Consumer Cyclical,Specialty Retail,NASDAQ,89.55,49,20,27,77,49.14,2973644702.7671585,61578891.0,0.233,-21.31,1869370,2159683,1724454,0.03
2986,BJ,Consumer Defensive,Discount Stores,NYSE,89.55,49,39,26,38,93.79,11624740950.56726,126314692.0,0.0728,-11.33,1603640,1847580,1694334,0.157
2987,NVST,Healthcare,Medical Instruments & Supplies,NYSE,89.54,49,71,70,82,23.95,3750423566.4207935,160617709.0,0.0795,-21.27,3684880,2689483,2856888,0.071
2988,SMP,Consumer Cyclical,Auto Parts,NYSE,89.54,49,34,57,64,37.69,821452583.8365746,22340293.0,0.0511,-18.07,198970,189193,168024,0.016
2989,FGIIU,Financial Services,Shell Companies,NASDAQ,89.53,49,41,38,47,10.07,,,0.11,-8.74,290,96,1850,
2990,LPAA,Financial Services,Shell Companies,NASDAQ,89.52,49,43,45,55,10.76,80954056.0820179,7523611.0,0.00059999997,-7.8,0,190,8554,
2991,SLDB,Healthcare,Biotechnology,NASDAQ,89.52,49,94,92,92,7.29,955376854.2187271,107225238.0,0.1737,-36.33,1641400,1102020,1052808,
2992,WERN,Industrials,Trucking,NASDAQ,89.51,49,72,88,62,32.89,2139385044.6985474,59977156.0,0.122200005,-30.74,980170,860700,1103022,0.24
2993,UMBFO,Financial Services,Banks - Regional,NASDAQ,89.51,49,51,50,51,25.92,,,1.27,-7.59,13522,11764,10520,0.122
2994,SKYX,Industrials,Electrical Equipment & Parts,NASDAQ,89.5,49,25,27,26,1.23,171997359.7968588,135430994.0,0.0279,-62.61,760360,912090,944614,0.096
2995,EXOD,Technology,Software - Infrastructure,NYSE ARCA,89.48,49,27,5,3,7.92,206590289.32865143,30203258.0,0.0315,-75.94,95510,118076,90188,0.016
2996,NPCE,Healthcare,Medical Devices,NASDAQ,89.47,49,48,75,71,14.06,490150623.55443,34324274.0,0.0305,-28.27,149780,138986,181074,0.171
2997,ATTT,Consumer Defensive,Household & Personal Products,NASDAQ,89.45,49,15,15,26,2.96,17389239.50410366,5874743.0,0.0005,-66.36,950610,319460,194872,1.96
2998,CTAAU,Financial Services,Shell Companies,NASDAQ,89.44,49,42,40,48,10.07,,,0.12,-2.99,100,123,452,
2999,RFAMU,Financial Services,Shell Companies,NASDAQ,89.44,49,41,40,48,10.0,,,0.0,-8.17,573,327,7864,
3000,HACQU,Financial Services,Shell Companies,NASDAQ,89.43,49,41,39,45,10.15,,,0.0,-0.49,0,756,654,
3001,TRGSU,Financial Services,Shell Companies,NASDAQ,89.42,49,40,38,47,10.06,,,0.17,-8.55,0,0,194,
3002,RMBS,Technology,Semiconductors,NASDAQ,89.42,49,24,86,80,105.16,9501236257.300728,108461603.0,0.0757,-39.6,3647370,2453833,2540708,0.204
3003,LKFN,Financial Services,Banks - Regional,NASDAQ,89.42,49,37,54,46,59.51,1484013066.9650269,24857840.0,0.1166,-10.44,245250,175146,168334,0.092
3004,FRPT,Consumer Defensive,Packaged Foods,NASDAQ,89.41,49,79,28,36,57.91,2952688000.5622787,48058074.0,0.19299999,-32.66,1094720,1104250,1231354,0.155
3005,SVIV,Financial Services,Shell Companies,NASDAQ,89.41,49,46,45,43,10.11,311266658.3515949,30666667.0,0.02,-6.39,26351,23903,22988,
3006,TRSG,Industrials,Metal Fabrication,NASDAQ,89.41,49,68,64,37,1.38,24840946.107370377,16353486.0,0.0062,-21.14,2210,2510,2904,0.109
3007,FGNX,Financial Services,Asset Management,NASDAQ,89.41,49,16,7,1,7.8,37962874.628074646,5095688.0,0.0715,-79.23,147290,116100,117526,0.169
3008,RDAGU,Financial Services,Shell Companies,NASDAQ,89.4,49,40,40,48,10.5,41619600.90637207,3960000.0,0.02,-2.0,60,40,222,
3009,POLE,Financial Services,Shell Companies,NASDAQ,89.4,49,45,45,55,10.73,316347207.88002014,29510000.0,0.0,-10.58,4810,99170,76604,
3010,SBR,Energy,Oil & Gas Midstream,NYSE,89.38,49,51,49,70,71.79,1071290319.541893,14579345.0,0.0015,-14.93,26990,28800,32604,0.165
3011,TWLVU,Financial Services,Shell Companies,NASDAQ,89.37,49,43,40,51,10.16,,,0.0,-2.4,0,13,8,
3012,FSCO,Financial Services,Asset Management,NYSE,89.37,49,36,25,23,5.11,1061915636.25,202269645.0,0.008,-31.09,1035698,899929,895711,
3013,APAM,Financial Services,Asset Management,NYSE,89.37,49,66,25,34,36.16,2604149184.106392,70996433.0,0.0624,-22.29,829360,769666,825236,0.089
3014,ALOVU,Financial Services,Shell Companies,NASDAQ,89.36,49,41,39,46,10.06,,,23.14,-3.73,0,0,276,
3015,KEY,Financial Services,Banks - Regional,NYSE,89.36,49,64,72,72,20.61,22206944638.831867,1067128554.0,0.0,-14.37,17849810,12929286,11765628,0.101
3016,KIM,Real Estate,REIT - Retail,NYSE,89.35,49,57,68,69,22.44,15112885034.28451,670789373.0,0.0575,-15.8,5345470,5075536,4898372,0.049
3017,DLB,Industrials,Specialty Business Services,NYSE,89.33,49,41,18,32,58.56,5400006174.677238,93668795.0,0.1252,-19.79,1143210,999270,981790,-0.033
3018,MMTXU,Financial Services,Shell Companies,NASDAQ,89.29,49,40,38,53,10.1,77710412.93506622,7694100.0,,-9.58,0,0,0,
3019,SRPT,Healthcare,Biotechnology,NASDAQ,89.29,49,75,25,41,18.67,2124159456.7796173,105627021.0,0.2794,-26.26,2860390,3009143,3080298,-0.343
3020,DNMXU,Financial Services,Shell Companies,NASDAQ,89.29,49,40,38,46,10.15,,,0.0,-7.73,1734,718,812,
3021,PECO,Real Estate,REIT - Retail,NASDAQ,89.29,49,55,67,64,37.39,4782491980.361938,128700000.0,0.0446,-15.74,1231160,933183,904672,0.067
3022,HCI,Financial Services,Insurance - Property & Casualty,NYSE,89.28,49,68,56,35,174.94,2334402147.1137543,12438867.0,0.0521,-16.89,192170,152980,158650,0.111
3023,SEG,Real Estate,Real Estate Services,NYSE,89.27,49,67,77,63,23.4,309222191.2216797,12809536.0,0.088999994,-20.97,85310,65513,69112,-0.148
3024,SABA,Financial Services,Asset Management,NYSE,89.27,49,39,42,53,8.05,216439864.08233643,26754000.0,0.00029999999,-12.4,58875,56555,46045,-0.232
3025,RANI,Healthcare,Biotechnology,NASDAQ,89.27,49,26,59,50,0.76,99496314.19906616,115424960.0,0.056799997,-80.36,655830,664690,777260,
3026,CPHC,Consumer Cyclical,Resorts & Casinos,NASDAQ,89.25,49,43,37,37,15.78,80860948.37730789,5183394.0,0.006,-9.31,2040,1883,1756,0.032
3027,ORIQU,Financial Services,Shell Companies,NASDAQ,89.25,49,41,43,48,10.35,146763005.40924072,14180000.0,0.0,-3.18,0,0,0,
3028,PNFP,Financial Services,Banks - Regional,NYSE,89.25,49,58,53,33,94.97,14620147920.0,151112640.0,0.0345,-13.92,1092660,959956,1083668,1.37
3029,KRAQU,Financial Services,Shell Companies,NASDAQ,89.25,49,40,39,44,10.12,,,0.0,-3.62,330,563,604,
3030,ONCHU,Financial Services,Shell Companies,NASDAQ,89.25,49,40,39,43,10.43,,,0.0,-8.14,2730,2593,2112,
3031,INCR,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,89.25,49,34,59,12,5.21,79670001.91147757,15003767.0,0.0007,-38.34,5150,43035,26975,0.239
