Rank,Industry,Sector,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Tickers
22,Insurance - Property & Casualty,Financial Services,105.69,85,74,30,40,"PRCH,PRHI,DGICB,SLDE,SAFT,UFCS,AII,HRTG,UVE,ASIC,KINS,BOW,TRV,THG,AIZ,ALL,HGTY,SKWD,MCY,HIPO,PLMR,HCI,SIGI,GBLI,HMN,CB,AFG,DGICA,CNA,NODK,ORI,CINF,RLI,WTM,L,WRB,KNSL,PGR,STC,SIGIP,MKL,KMPR,TRUP,ACIC,LMND,ROOT"
23,Banks - Regional,Financial Services,104.91,84,84,72,67,"OPHC,CIB,MSBI,VBNK,ASRV,HFBL,BYFC,CHMG,GCBC,CLBK,BOTJ,SHG,CARE,PBAM,KFFB,MFG,BWFG,AMAL,FMAO,HBT,AMTB,CMTV,CBNA,SBFG,KB,ALRS,CZFS,MBIN,KRNY,PFIS,PGC,FBIZ,ACNB,CFFI,CFBK,ATLO,PKBK,RRBI,WTBA,FISI,BAFN,OBK,BPRN,SMBK,WASH,INBK,TRST,RBCAA,CAC,NKSH,PLBC,CBK,TMP,CBC,LSBK,AVAL,OSBC,FDSB,CTBI,WSBF,RCBC,WSFS,OBT,CZNC,SRCE,FVCB,BSVN,FNLC,FBP,USCB,FCBC,RBKB,CFFN,FRST,PEBO,BAP,FSEA,FNWD,WF,DB,BHB,SHBI,RBB,TSBK,FSBC,PBFS,NWG,HOPE,BY,OFG,BPOP,CFR,MBWM,FMBH,CPBI,CCNE,HNVR,LARK,TFSL,DCOM,NIC,PCB,NWBI,THFF,WSBC,PDLB,MVBF,BSAC,AVBC,FCF,FDBC,BRBS,GSBC,FBLA,FNRN,NWFL,FRAF,CFG,CZWI,MBBC,GABC,STBA,IFS,EFSI,LYG,USB,BSRR,UVSP,CATY,BUSE,AROW,PBHC,MYFW,BCH,FCAP,FUSB,NBTB,LCNB,MCBS,CLST,UBSI,PROV,BWB,PEBK,QNBC,MPB,SFST,HWBK,QCRH,BFST,BCAL,VABK,FXNC,MGYR,FFBC,ECBK,EGBN,CPF,CHCO,BVFL,CIVB,FULT,NBN,NECB,CCBG,SRBK,HAFC,SMBC,FCCO,FBNC,CBNK,FNWB,MTB,WABC,FUNC,ZION,SFNC,FMNB,FITB,PNC,TCBX,ORRF,UMBF,ISTR,MNSB,HBCP,ASB,CNOB,CBAN,EBC,BBT,HWC,HBNC,TRMK,VLY,WSBK,NBBK,ITUB,CVBF,JMSB,PRK,CWBC,EWBC,MCHB,BFC,AUBN,RMBI,SYBT,COFS,BHRB,ONB,ESQ,COSO,RF,EBMT,OPBK,PFS,BBDO,BLX,NSTS,SSB,HTB,MRBK,HYNE,FRBA,UNTY,BOKF,BANR,EQBK,AUB,BMRC,CBSH,TCBK,SFBC,INDB,SPFI,OVLY,IBCP,HFWA,PFBC,FIBK,UCB,SBCF,TOWN,CUBI,FSUN,LOB,AVBH,OVBC,SFBS,BBD,EFSC,UBCP,NRIM,FCNCA,BSBR,COLB,BMA,HOMB,NEWTP,NU,KEY,FNB,TFC,MCB,PNFP,HIFS,MBINL,CBFV,WNEB,FHN,ABCB,AX,FRME,CNOBP,FSBW,FGBI,WTFC,MSBIP,MBINM,BOH,RNST,MBNKO,PB,MNSBP,TCBS,TFIN,NBHC,TCBI,VLYPN,CBU,VLYPP,BSBK,WAFD,OCFC,WSBCO,UNB,SBSI,CCNEP,VLYPO,ONBPO,BBAR,BKU,MBINN,FFIN,WAFDP,ONBPP,FRMEP,WTFCN,FBK,BWBBP,HBANL,LKFN,NEWT,FGBIP,BCML,OZK,IBN,GGAL,BANC,HBAN,BUSEP,UMBFO,IBOC,FHB,GBCI,FLG,RVSB,WAL,HBANP,CASH,SSBI,HAPN,TCBIO,FULTP,BANF,ISBA,FCNCP,SUPV,OZKAP,BCBP,FCNCO,HBANZ,HBANM,NPB,ZIONP,EFSCP,FINW,TBBK,INTR,PNBK,AGBK,HDB,GBFH,CCB,SHFS"
24,Aluminum,Basic Materials,104.83,83,93,97,97,"KALU,CSTM,CENX,AA"
25,Trucking,Industrials,103.74,83,88,95,53,"ETS,ARCB,CVLG,KNX,SNDR,WERN,TFII,PAMT,HTLD,RXO,ULH,XPO,MRTN,ODFL,SAIA,TOPP"
26,REIT - Hotel & Motel,Real Estate,103.6,82,86,88,45,"CLDT,PEB,PK,RLJ,DRH,APLE,RHP,HST,XHR,SHO,INN,IHT,AHT,SVC,BHR"
27,Gold,Basic Materials,103.4,81,67,67,96,"AUGO,CGAU,MAKO,HYMC,SSRM,ARIS,EGO,TRX,FSM,NEM,IAUX,IAG,AU,WPM,ELE,HMY,BTG,FNV,THM,RGLD,SA,CDE,AEM,DC,GFI,OGC,B,VGZ,KGC,PAAS,CMCL,CNL,DRD,PZG,EQX,OR,FURY,AAUC,AGI,GROY,NG,USAU,GORO,GAU,CTGO,OGG,GLDG,MINE,IDR,NFGC,AUST,NAMM,BGL"
28,Lumber & Wood Production,Basic Materials,103.19,81,27,10,14,"NWGL,JCTC,WFG,BCC,SSD,UFPI"
29,Steel,Basic Materials,100.3,80,83,84,43,"FRD,HLP,MT,TX,NUE,GGB,NWPX,STLD,RS,PKX,MTUS,SID,CLF,ASTL,WS,SIM,MSB,LUD,ZKIN,HUDI,INHD"
30,Communication Equipment,Technology,100.22,79,98,97,98,"LITE,HPE,AAOI,SILC,VSAT,VIAV,ZBRA,TSAT,OCC,DGII,NOK,CIEN,FEIM,CSCO,VISN,CLRO,AIRG,MSI,FIEE,WATT,HLIT,BOSC,AUDC,EXTR,ERIC,BDC,AVNW,BKTI,UI,MITQ,ASTS,CRNT,ONDS,NTGR,UTSI,LTRX,CLFD,AMPG,FKWL,GILT,SYNX,ADTN,CMTL,INSG"
31,Insurance - Reinsurance,Financial Services,100.22,79,60,38,47,"OXBR,HG,RGA,RNR,EG,SPNT,GLRE,KG"
